Artikelbezeichnung;Pharmacode;EAN-Code;alessandra.schwarz@coop.ch
DAFALGAN Direct Gran 250 mg Erdbeere Btl 16 Stk;7834179;7.68069E+12;
DAFALGAN Direct Gran 500 mg Rote Beeren 16 Stk;7834178;7.68069E+12;
DALE Tracheostomy Tube Holder Jugendliche 241 (#);5491327;7.64011E+12;
DAYLONG Sensitive Gel-Creme SPF30 (n) Tb 200 ml;7846895;3.49932E+12;
DAYLONG Sensitive Gel-Creme SPF50+ (n) Tb 200 ml;7846896;3.49932E+12;
DCP 0,5% in Duofilm, 10 mL;10016508;NA;
DCP in 1% Duofilm KA;10016439;NA;
DEOMANT Kristall Deodorant mini Reise Stick 60 g;3941022;7.64011E+12;
DEPOT Miete Kinderkrücken;10016259;NA;
DEPOT MILCHPUMPE;10004806;NA;
DERMAPLAST Active Kinesiotape 5cmx5m blau;7769378;8.71917E+12;
DERMAPLAST ACTIVE Manu Easy 1 short left;7755392;8.43604E+12;
DERMAPLAST Active Sportbandage 4cmx5m;7781132;4.0522E+12;
DERMAPLAST Compress 6x8cm 80 Stk;7840603;6.94156E+12;
DERMAPLAST Compress 8x12cm 80 Stk;7840605;6.94156E+12;
DERMAPLAST Kompressen 10x10cm 8-fach 5 x 2 Stk;1004710;4.0522E+12;
DERMAPLAST Kompressen 5x5cm 8-fach 5 x 2 Stk;1004708;4.0522E+12;
DERMAPLAST Medical Transparentverb 10x9cm 5 Stk;1001990;4.0522E+12;
DERMAPLAST Medical Transparentverb 7.2x5cm 5 Stk;1001989;4.0522E+12;
DERMAPLAST SENSITIVE Centro Strip 4x6cm hf 100 Stk;2182896;7.6116E+12;
DERMASEL Therapie Schuppenflech Salbe D/F/I 75 ml;7223571;4.01389E+12;
DESDERMAN care liq Fl 100 ml;7750313;4.03265E+12;
DESLORA Mepha Allergie Filmtabl 5 mg 10 Stk;7845588;7.68068E+12;
DESLORATADIN Spirig HC Filmtabl 5 mg 50 Stk;5753997;7.68063E+12;
DEUMAVAN Intim Lavendel Schutzsalbe Tb 50 ml;7818695;4.10517E+12;
DIETISA Magermilchpulver instant Bio Btl 300 g;6018774;7.6101E+12;
DIOSMIN HESPERIDIN Zentiva Filmtabl 500 mg 60 Stk;7833306;7.68068E+12;
Diprogenta Crème- Linola halbfett  1:2 90g Tube;10016362;NA;
DISPOGEL N Ultraschall Gel Cubitainer 5 lt;7852375;7.65E+12;
DISPOGEL N Ultraschall Gel Fl 1000 ml;7852376;7.65E+12;
DIXA Bärlappkraut geschnitten 300 g;2162741;NA;
DIXA Beifusskraut BIO geschnitten 300 g;7309858;NA;
DIXA Flohsamen schwarz PhEur gereinigt 500 g;1801498;NA;
DIXA Flohsamenschalen indisch PhEur ganz 170 g;7558142;NA;
DIXA Sennesblätter angustifolia PhEur geschn 500 g;2138990;2.01257E+12;
DMSO 50% in Basiscreme DAC 100g Kruke;10015959;NA;
DOFF N'DONNER blau;7685165;7.61338E+12;
DR. HAUSCHKA Intensivcreme Mittagsblume 50 ml;7820099;4.02083E+12;
DR. JACOB'S Basenpulver 300 g;5084562;4.04125E+12;
DR. JACOB'S Quercetin-Phospholipid Kaps 60 Stk;7845895;4.04125E+12;
DROGOVITA CBD Mundöl 10 % Fl 10 ml;7838584;3.01661E+11;
DROSSA NOSE Nasensalbe (neu) Tb 20 g;7816729;7.64014E+12;
DUALIN Hautschutz Creme unparfümiert Tb 100 ml;6865712;4.26003E+12;
DUL-X Back Relax Gel Creme N Disp 75 ml;1001790;7.61114E+12;
DUL-X Neck Relax Gel N Disp 30 ml;1026381;7.61114E+12;
DUL-X Neck Relax Gel N Disp 50 ml;1026382;7.61114E+12;
DÜNNER Eibisch isländisch Moos Pastillen 24 Stk;6507059;7.61128E+12;
DUREX Gefühlsecht Ultra Präservativ 10 Stk;1001357;4.00245E+12;
ECOMUCYL Sandoz Brausetabl 200 mg 30 Stk;4935928;7.68051E+12;
ECRINAL NAGEL Bitterlack Fl 10 ml;3181781;3.32304E+12;
Ekzemsalbe Ivy Susan 100g Kruke;10016308;NA;
ELIXAN Cajeput Öl 10 ml;1638609;7.61212E+12;
ELMEX gelée Tb 215 g;931342;7.68035E+12;
ELMEX KARIESSCHUTZ InterX Mittel Zahnbür 2+1 gra;7835480;8.71895E+12;
Elocom Creme 1:3 mit Dexeryl Salbentopf 250g;10016325;NA;
Elocom Creme in Dexeryl Creme 1:1 200g Kruke;10016518;NA;
Elocom Salbe in Dexeryl Crème 1:3 Kruke 200g;10016337;NA;
Elocom Salbe mit Dexeryl Creme 1:1 30g Tube;10016500;NA;
Elocom Salbe mit Dexeryl Creme 1:1 Kruke 200g;10016293;NA;
Elocom Salbe mit Dexeryl Creme 1:3 100g Tube;10016499;NA;
Elocom Salbe-Dexeryl Creme 1:1 Kruke 200g;10016293;NA;
ELSA Nackenkissen 50x11cm Baumwollbezug weiss;7109993;2.0198E+12;
ELSA Nackenkissen 50x11cm Veloursbezug sand;3123186;NA;
ELUDRILCARE Mundspüllösung Fl 500 ml;1002377;3.57706E+12;
ELVEREV' Chrono-Relax L-Tryptophan Kaps 60 Stk;7243987;7.64013E+12;
EMS Halsschmerzspray für Kinder 30 ml;7774264;4.26005E+12;
EMSER Inhalator Pro;7795184;4.26005E+12;
ENDZAP Entfernung von Stielwarzen 14.3 g;1020855;7.601E+12;
ENGYSTOL Tabl Fl 50 Stk;1581080;7.68053E+12;
ENSURE Plus Waldfrucht 200 ml;4486583;8.71043E+12;
ENTERELLE PLUS BROMATECH Kaps 24 Stk;7527928;7.64017E+12;
EPITACT flex Aktivitäts-Daumenbandage S 13-15cm li;5995714;3.6604E+12;
EPITACT flex Aktivitäts-Daumenbandage S 13-15cm re;5995708;3.6604E+12;
EPITACT flexible KorrBand Hallux TAG M 21.5-23cm;5318310;3.6604E+12;
EPITACT Fussballenkis Comfort Plus S 36-38 1 Paar;7770472;3.6604E+12;
EPITRAIN Aktivbandage mit Gurt Gr2 titan;7793702;4.05753E+12;
ESENTA Hautschutz-Applikator steril 25 x 1 ml;7833737;7.68455E+11;
ESENTA Pflasterlöser Spray 50 ml;7819994;7.68455E+11;
ESTRAMON (IMP D) Matrixpfl 100 mcg/24h 24 Stk;10016599;NA;
EUBOS Seife liquide unparf blau refill 400 ml;7803959;4.02135E+12;
EUBOS Urea Fusscrème 100 ml;3278339;4.02135E+12;
EUCERIN ANTI-PIGMENT Augenringe Tb 15 ml;1026089;4.0058E+12;
EUCERIN ANTI-PIGMENT Teint Perf Serum Fl 30 ml;7818332;4.0058E+12;
EUCERIN AntiRÖTUNGEN Feuchtigkeitspfl Fl 50 ml;5924708;4.0059E+12;
EUCERIN Aquaphor Schutz&Pflegesalbe 2 Tb 10 ml;7844057;4.0058E+12;
EUCERIN Aquaphor Schutz&Pflegesalbe Tb 45 ml;7596579;4.0058E+12;
EUCERIN AQUAporin ACTIVE Augenpflege 15 ml;6207274;4.0059E+12;
EUCERIN DermatoCLEAN Gesichtstonic feuchtig 200 ml;7752072;4.0058E+12;
EUCERIN DermatoCLEAN Reinigungsgel erfrisch 200 ml;7752073;4.0058E+12;
EUCERIN DermoCapillaire beruhig Urea Tink 100 ml;5314973;4.0058E+12;
EUCERIN DermoCapillaire revital Shamp 250 ml;5315010;4.0058E+12;
EUCERIN DermoPure Waschpeeling Tb 100 ml;7839289;4.0058E+12;
EUCERIN HYALURON-FILL Tag tro Haut LSF15 Ref 50 ml;7847948;4.0058E+12;
EUCERIN HYALURON-FILL+ELAST Nachpfl Topf 50 ml;7837660;4.0058E+12;
EUCERIN HYALURON-FILL+ELAST Tagespfl LSF15 50 ml;7837662;4.0058E+12;
EUCERIN HYALURON-FILL+ELAST Tagespfl LSF30 50 ml;7837661;4.0058E+12;
EUCERIN HYALURON-FILLER + UREA Nacht 50 ml;7517692;4.0058E+12;
EUCERIN HYALURON-FILLER + UREA Tag 50 ml;7517686;4.0058E+12;
EUCERIN HYALURON-FILLER Feucht-Booster Nacht 50 ml;7829195;4.0058E+12;
EUCERIN HYALURON-FILLER Gesichtsmaske Mono Btl;7747404;4.0058E+12;
EUCERIN HYALURON-FILLER Nacht Refill 50 ml;7847947;4.0058E+12;
EUCERIN HYALURON-FILLER Tag LSF30 50 ml;7321954;4.0058E+12;
EUCERIN HYALURON-FILLER+ELAST Augen LSF20 15 ml;7837659;4.0058E+12;
EUCERIN SUN Face Hydro Protect LSF50+ Fl 50 ml;7847573;4.0058E+12;
EUCERIN SUN Face Oil Cont Gel-Cre he LSF50+ 50 ml;7847572;4.0058E+12;
EUCERIN SUN Face Pigm Cont Gel-Cr med LSF50+ 50 ml;7809755;4.0058E+12;
EUCERIN SUN KIDS D Touch Gel-Cre Lot LSF50+ 200 ml;7847575;4.0058E+12;
EUCERIN SUN KIDS Trigger Spray LSF50+ Fl 250 ml;7847574;4.0058E+12;
EUCERIN UltraSENSITIVE beruh Pfl trock Haut 50 ml;5924743;4.0059E+12;
EUCERIN UreaRepair Gesichtscr Tag 5 % Urea 50 ml;7636942;4.0058E+12;
EUCERIN UreaRepair PLUS Lot 5 % Urea Duft 400 ml;7818330;4.0058E+12;
EUCERIN UreaRepair PLUS Lotion 5 % Urea 400 ml;4970391;4.0058E+12;
EUPHORBIUM COMP S Heel Nasenspray 20 ml;853369;7.68047E+12;
EVERYDAYS Flat Belly Enzym Verdauung Kaps 60 Stk;1000703;7.64016E+12;
EVERYDAYS Probiotic Hum Biotic Pattern Kaps 60 Stk;7808771;7.64016E+12;
EXCILOR 2in1 Warzen-Stopp;7676321;8.71174E+12;
Excipial U Hydrolotion mit 5% Levomenthol 180g;10016549;NA;
Excipial U Lipolotion o.P mit 5% Levomenthol 180g;10016522;NA;
EXTRA CELL Matrix C-II Curma Plus Knorpel 120 Stk;7829604;7.64016E+12;
FARFALLA Räucherung Weisser Salbei 2 Bündel à 15 g;5013680;7.61253E+12;
FASHY Wärmflasche 2l Flausch grün Th;7830909;4.00834E+12;
FASHY Wärmflasche 2l Flauschbezug ex so hellro;7802852;4.00834E+12;
FEMAVIVA Gel Disp 30 ml;1002410;7.61114E+12;
FERMAVISC SafeDrop Gel Gtt Opht 0.3 % Fl 10 ml;6670919;7.64013E+12;
FERRO-GRADUMET Depottabl 30 Stk;20244;7.68032E+12;
FERRO-GRADUMET Depottabl 90 Stk;1245933;7.68032E+12;
Ferrol Lesebrille Se 35 flex metall golden 2.5;10015530;NA;
Ferrol Lesebrille SE 54 Flex braun Strass 3.0;10016180;NA;
FERROL Lesebrille SE22 2.00dpt Metall Lennon tabac;7792495;NA;
FERROL LESEBRILLE SE34 FLEX METALL SCHWARZ +1.0;10013858;2.06006E+12;
FERROL LESEBRILLE SE34 FLEX METALL SCHWARZ +3.0;10013862;2.06006E+12;
FERROL Lesebrille SE49 3.00dpt Lennon blau;10016328;NA;
FERROL Lesebrille SE62 2.50dpt rosa transparent;1030966;NA;
FERROL Lesebrille SE63 3.00dpt grau transparent;1030975;NA;
Ferrol Lesebrille T 023 +3.5;10016281;NA;
Ferrol Lesebrille T 032 1.5;10015853;NA;
FERROL Lesebrille T009 4.00dpt Flex schwarz/braun;7792527;NA;
Ferrol Lesebrille T033 königsblau 1.5;10016173;NA;
Ferrol Lesebrille T033 königsblau 2.0;10016175;NA;
FERROL Lesebrille T034 2.50dpt rot;1009371;NA;
Ferrol Lesebrille VA83 frühling bunt 2.0;10016171;NA;
FERROL Lesebrille VA87 1.50dpt havanna;1008157;NA;
FERROL Lesebrille VA87 2.50dpt havanna;1008159;NA;
FERROL Lesebrille VA88 1.50dpt black;1027237;NA;
FERTIFOL Tabl 0.4 mg 84 Stk;3806488;7.68058E+12;
FEXOFENADIN Spirig HC Filmtabl 120 mg 10 Stk;1006311;7.68068E+12;
FEXOFENADIN Spirig HC Filmtabl 180 mg 30 Stk;1006317;7.68068E+12;
FH Knopfkanüle einweg 0.8x70mm steril 21 Stk;6053693;NA;
FILABE Mixed Skin 28 Stk;7840871;7.64015E+12;
FLAM-X Wallwurz Gel Tb 100 ml;6627289;7.64015E+12;
FLAWA Linelle Normalbinden 20 Stk;7624287;4.05665E+12;
Flohsamen ganz Hänseler 200g;10016531;NA;
FLORADIX Eisen + Vitamine Fl 250 ml;7838497;4.00415E+12;
Fluconazol 25mg 20 Kaps;10016388;NA;
FLÜGGE Kieselerde Tabl 120 Stk;661457;4.10431E+12;
FLUIMUCIL Erkältungshust Sirup 200 mg/10ml 200 ml;5104649;7.68054E+12;
FORTAKEHL Kaps D 4 trit 20 Stk;1461074;7.6805E+12;
FORTIMEL Compact Protein Cappuccino 4 Fl 125 ml;5207906;8.7169E+12;
FORTIMEL Compact Protein Erdbeere 4 Fl 125 ml;7806438;8.7169E+12;
FORTIMEL Compact Protein neutral 4 Fl 125 ml;7759051;8.7169E+12;
FRESENIUS Nephrostom Drainagebeutel 2000ml 50 Stk;5480648;4.086E+12;
FRESUBIN 2 kcal Comp DRINK Cappuccino 4 x 125 ml;7831431;4.0519E+12;
FRESUBIN 2 kcal Comp Fib DRINK Schoko 4 x 125 ml;7831435;4.0519E+12;
FRESUBIN 2 kcal Crème Cappuccino 4 x 125 g;7841290;4.0519E+12;
FRESUBIN 2 kcal Crème Praliné 4 x 125 g;7841291;4.0519E+12;
FRESUBIN 2 kcal Crème Schokolade 4 x 125 g;7841292;4.0519E+12;
FRESUBIN 2 kcal Crème Vanille 4 x 125 g;7841293;4.0519E+12;
FRESUBIN 2 kcal Crème Walderdbeere 4 x 125 g;7841294;4.0519E+12;
FRESUBIN 2 kcal Fibre DRINK Cappuccino 4 x 200 ml;7831427;4.0519E+12;
FRESUBIN 2 kcal Fibre DRINK Schokolade 4 Fl 200 ml;7831428;4.0519E+12;
FRESUBIN Energy DRINK Erdbeere 4 Fl 200 ml;7831437;4.0519E+12;
FRESUBIN Energy Fibre DRINK Schok (neu) 4 x 200 ml;7831439;4.0519E+12;
FRONTLINE Spot On Katze Liste D 6 x 0.5 ml;6272395;3.6611E+12;
FS Haarwasser blau Pro Vit B5 Condit 200 ml;1434255;7.6147E+12;
GANODERMIN Vital Pilzextrakt Kaps 60 Stk;4827854;7.64014E+12;
GASTROZEPIN (IMP D) Tabl 50 mg 50 Stk;5011155;NA;
GAVINATURA Tabl 14 Stk;7798233;4.00245E+12;
GAZIN Mullkompressen 5x5cm 12f st 40 x 2 Stk;2406031;4.02145E+12;
GEHWOL Hammerzehen-Polster G gross links;2885215;4.01347E+12;
GEHWOL med Fussdeo-Creme Tb 125 ml;2589445;4.01347E+12;
GELI STOP Tabl 50 Stk;1358330;7.68012E+12;
GEM Bad Erkältungszeit Fl 150 ml;1003920;7.61226E+12;
GEM Bronchialpastillen mit Sorbit Ds 36 Stk;7783251;7.68054E+12;
GENUTRAIN Aktivbandage Gr1 natur alt;2243729;NA;
GENUTRAIN P3 Aktivbandage Gr5 rechts titan;2244752;4.04645E+12;
GENUTRAIN S Aktivbandage Gr4 rechts titan;2477806;4.04645E+12;
GESAL FERPLUS Schnecken-Stop 800 g;7784346;7.64011E+12;
GESAL PROTECT Ameisen- und Ungezieferspray 500 ml;2691793;7.64011E+12;
GESAL PROTECT Küchenmotten-Falle;2386357;7.64011E+12;
GESAL PROTECT Motten-Strip 2 Stk;2386305;7.64011E+12;
GESAL PROTECT Mückenschutz Ersatzfläschchen 30 ml;7847038;7.64019E+12;
GESAL PROTECT Wespen- und Fliegenfalle;7573733;7.64011E+12;
GESAL Unkrautvertilger Konz Super-Rapid 500 ml;6566375;7.64011E+12;
GIBAUD CHALEUR Kniewärmer L anthrazit;7809784;3.32254E+12;
GILBERT Eosin Lös 2 % 10 Monodos 5 ml;2371114;3.51865E+12;
GLAD Nacht Periodenunterwäsche M stark;7836030;7.64999E+12;
GLAD Nacht Periodenunterwäsche S stark;7836029;7.64999E+12;
GLAD Tag Periodenunterwäsche M stark;7836016;7.64999E+12;
GLAD Tag Periodenunterwäsche S leicht;7836008;7.64999E+12;
GLUCOSULF Gran 750 mg Btl 30 Stk;4564225;7.61229E+12;
GRETHERS Blackcurrant Past Btl 110 g;1003373;7.6147E+12;
GRETHERS Blackcurrant Past o Z Btl 110 g;1003374;7.6147E+12;
GRETHERS Blackcurrant Past o Z DUO 2 Btl 110 g;1003376;7.6147E+12;
GROOVIA Stevia Plv Btl 400 g;4490314;4.26022E+12;
GUM Prothesenbürste hart;6058880;70942502016;
GYNO-CANESTEN Kombi FORTE Vaginalkaps & Creme;1007593;7.68068E+12;
GYNOFIT Waschlotion parfumiert 200 ml;3598788;7.61226E+12;
HABIBI PLUSH Baby Kamel Hülle waschbar;7735981;4.26026E+12;
HABIBI PLUSH Mammut 31cm;6147655;4.26026E+12;
HÄNS Ammonii hydroxidi sol 10 % PhH 250 g;4627380;NA;
HÄNS Boldo folium conc PhEur 100 g;4603563;NA;
HÄNS GID Macrogolum 4000 pulvis PhEur 500 g;7200802;NA;
HÄNS GID Natrii hydrogenocarbonas PhEur 1 kg;7206242;NA;
HÄNS Monardae flos tot 50 g;2361191;NA;
HÄNS Natrii hypochlorosi solut chir 1 kg;2007302;NA;
HÄNS Opii tinctura normata PhEur 20 g;3578314;7.61175E+12;
HÄNS Quercus extractum liquidum 1/4 100 ml;4611539;NA;
Häns Rosae aqua conservata 100ml;10016315;2021050144;
HÄNS Rosmarini spiritus 500 ml;4613389;NA;
HÄNS Sennae folium concisum PhEur 250 g;2463810;NA;
HÄNS Zinci unguentum PhH 200 g;4604574;NA;
HANSAPLAST Anti Hornhaut Creme 20 % Int (n) 75 ml;1004509;4.0058E+12;
HANSAPLAST Silikonpflaster Large neu 5 Stk;7794237;4.0058E+12;
HÄNSELER Angelica Kaps 30 Stk;7804896;7.61267E+12;
HAROLOGI DEEP CLEANSING SHAMPOO 100ML;10005233;7.32188E+12;
HAROLOGI FOB INTENSIVE CURE 100ML;10005220;7.32188E+12;
Harologi Hydrate Conditioner 1l;10016447;NA;
HAROLOGI HYDRATE SHAMPOO 230ML;10005218;7.32188E+12;
HAROLOGI REBUILD SHAMPOO 230ML;10005210;7.32188E+12;
HAROLOGI SCALP THERAPY 100ML;10005230;7.32188E+12;
Harologi Shampoo Color Silver 1l;10016448;NA;
HARTMANN ES-Kompresse T17 10x10cm 8f st 50 x 2 Stk;7825872;4.0522E+12;
HARTMANN ES-Kompresse T17 5x5cm 12f st 25 x 2 Stk;7825873;4.0495E+12;
HARTMANN ES-Kompresse T17 5x5cm 8f st 50 x 2 Stk;7825870;4.0522E+12;
HEIDAK Heublumenpackung 5 Btl 50 g;1751903;7.64015E+12;
HELPING HAND Greifzange 81cm Handy-Grip rotativ;6474348;4.25063E+12;
HERBA Kids Haarbinder 1cm schwarz 20 Stk;5861008;7.6183E+12;
HERBA Kids Haarbinder 1cm weiss;5860960;7.6183E+12;
HERBA Sport Haarbinder Ø3.8cm transparent 2 Stk;6713758;7.6183E+12;
HERBAMED Bryonia comp Nr5 Tropfen Fl 50 ml;7806520;7.64013E+12;
HERBAMED Gentiana lutea comp Tropfen 100 ml;5465293;7.64013E+12;
HERBATINT Haarfärbegel 2N Braun (#) 150 ml;6591657;8.01674E+12;
HERBORISTERIA Blauholz Btl 40 g;2903700;7.6121E+12;
HERBORISTERIA Brûle Oval grau Nr 38;7497558;7.6121E+12;
HERBORISTERIA Duftstein Diskus berryred;7737240;7.61015E+12;
HERBORISTERIA Kerze Hase im Glas;6585214;4.02084E+12;
HERBORISTERIA Osterhölzer Set Sandel Gelb Blau;2903692;7.6121E+12;
HERBORISTERIA Sandelholz Btl 40 g;2903775;7.6121E+12;
HERBORISTERIA Tasse Pink Heart ass;7497825;7.6121E+12;
HERBORISTERIA Tee gönn dir eine Pause;4992501;7.6121E+12;
HERBORISTERIA Zahnputz-Uhr aus Holz KATZE;7833391;7.64012E+12;
HERPOTHERM Herpesstift (neu);7798882;4.26062E+12;
HERZZUCKER Kirschkernkissen 26x21cm Karo/Wollw bei;7836662;7.64017E+12;
HERZZUCKER Kirschkernkissen 26x21cm Karo/Wollw rot;7447655;7.64017E+12;
HERZZUCKER Raps-Wärmekissen 26x21cm Libelle;7836659;7.64017E+12;
HERZZUCKER Raps-Wärmekissen 26x21cm Sternch beige;7447632;7.64017E+12;
HILDEGARDS LADEN Galgant gemahlen Btl 100 g;7813433;9.12007E+12;
HIMMELGRÜN Traubenkernkissen 15x15cm Liebl Jungs;7802992;9.00899E+12;
HOMED Nasenverband unsteril universal 20 Stk;7735479;7.64018E+12;
HOMEDI-KIND Sandmann Glasfl 10 ml;7142915;9.12008E+12;
HOMEDI-KIND Tönchenöl Bäuchleinöl 50 ml;7142938;9.12008E+12;
HOMEOPLASMINE Salbe Tb 40 g;1367429;7.68045E+12;
HORMONY Complex G B12 Tropfen Fl 50 ml;7806867;4.2603E+12;
Hydrocortison 0.5 % in Antidry Lotion 190g;10016367;NA;
Hydrocortison 0.5% in Imazol Creme 30g Tube;10016534;NA;
Hydrophile Tretinoin-creme 0.05% 100ml;10016417;NA;
HYIODINE Lös Vial 22 g;5341935;8.59516E+12;
HYPO-FIT Flüssigzucker Lemon Btl 15 Stk;4983821;8.71392E+12;
HYPO-FIT Flüssigzucker Orange Btl 12 Stk;4983815;8.71392E+12;
IALUGEN Medizinalgaze 10x10cm 30 Stk;1412101;7.68048E+12;
IALUGEN PLUS AKUT Creme Tb 20 g;7831524;7.68068E+12;
IALURIL Soft Gels 60 Stk;7806864;7.61229E+12;
IBU Sandoz Filmtabl 400 mg 10 Stk;4983873;7.68056E+12;
ICHTHOLAN Zugsalbe 10 % Tb 40 g;1666712;7.68011E+12;
IDEAL MAXI Baumwolle Color No03 zinnober;2072334;3.0452E+12;
IDEAL MINI Baumwolle Color No02 citron;2073109;3.0452E+12;
IDEAL Wolle Color Plv No16 blau franc 30 g;2073581;3.0452E+12;
IMODIUM lingual akut Schmelztabl 2 mg 12 Stk;7229711;7.68058E+12;
Inofolic HP Beutel 20 Stk (IT);10016528;NA;
INTRAFIX PROSET SafeSet RV Discof 3C Verl 15cm;4759928;4.04696E+12;
ISLA Cassis Pastillen 30 Stk;4059013;4.10448E+12;
IVF Faltkompresse T24 5x5cm 8fach 100 Stk;7773818;6.94156E+12;
IVF Faltkompresse Typ17 10x10cm 8fach 100 Stk;7773813;6.94156E+12;
JEMALT Plv Btl 900 g;7817792;7.6121E+12;
JEMALT Plv Ds 450 g;7817793;7.6121E+12;
JEMALT Tabs 40 x 7.5 g;7817794;7.6121E+12;
KA-EX reload Pack Btl 24 Stk;7835950;7.61198E+12;
KABOOTI Sitzkissen 3 in 1;7667339;7.37709E+11;
KALOBA Sirup Fl 120 ml;7819187;7.68067E+12;
KAMILLOFLUID liq 200 ml;950173;7.68017E+12;
KELI-MED Creme Tb 20 g;7842366;7.68047E+12;
KELI-MED Creme Tb 50 g;7842367;7.68047E+12;
KINGNATURE Amino Vida Tabl Ds 240 Stk;6826014;7.64015E+12;
KLIMAKTOPLANT Tabl 100 Stk;1258893;7.68033E+12;
KRUST EX Glaskeramikreiniger und Induktion 130 g;1346083;7.61137E+12;
KRUST EX RAPID Backofen Grillreiniger Spr 400 ml;1344397;7.61137E+12;
KUKIDENT Haftcreme bester Halt 40 g;7837471;8.00654E+12;
KUKIDENT Haftcreme Extra Stark neutral 47 g;7837467;8.00654E+12;
KUKIDENT Haftcreme Extra Stark Original 47 g;7837469;8.00654E+12;
KUKIDENT Haftcreme Professional 40 g;7837466;8.00654E+12;
LACTEASE 9000 FCC Kautabl teilbar 40 Stk;5905059;7.64016E+12;
LACTOBACT BABY + Plv 60 g;6538887;4.04604E+12;
LACTOFERMENT Plv 10 Btl 10 g;1985624;7.68051E+12;
LACTONA Mundspiegel;1374197;3.41674E+11;
LEKI Gummipuffer universal 9-12mm schwarz;2793683;4.02817E+12;
LEUKOTAPE K Kinesiologi Tape 5mx5cm blau;3416445;4.04281E+12;
LGA Gelatine Kapseln Interdelta 2 trans 1000 Stk;3393520;7.64011E+12;
Lidocain 5% in Linola Fett 100g Kruke;10016557;NA;
Lidocain 5% in Linola fett 2x 100g in Tuben;10016468;NA;
Lidocain 5% in Softsalbe KA 100g (Kruke);10016450;NA;
Lidocain 5% in Vagisan Feuchtcreme, 50g;10016067;NA;
LITOZIN Hagebuttenpulver Kaps (neu) 120 Stk;7851255;5.70207E+12;
LIVSANE Tablettenmörser 3 in 1;7846280;4.06298E+12;
LIXIM Patch 70 mg Btl 7 Stk;7851577;7.68067E+12;
LOPERAMID Sandoz Kaps 2 mg 20 Stk;4661945;7.68061E+12;
LOPERAMID Streuli Kaps 2 mg 20 Stk;6422676;7.68054E+12;
LORAN TOTAL Lippenschutz Salbe Tb 9.5 g;853458;2.01046E+12;
LORATADIN Sandoz Tabl 10 mg 14 Stk;4953978;7.68057E+12;
LUBEX ANTI-AGE day classic SPF30 50 ml;5220054;7.64011E+12;
LUBEX ANTI-AGE Serum multi intensive 30 ml;4590369;7.64011E+12;
LUBEX foam 150 ml;6976073;7.64011E+12;
Lüttes Welt Badevulkan Glitzerfisch 70g;10015670;4.01595E+12;
Lüttes Welt Magische Badewasserfarbe 80g;10016257;4.01595E+12;
LUVIT K2 Natürliches Vitamin Tropffl 10 ml;7803165;7.64014E+12;
MAGNESIUM BIOMED PUR Kaps 150 mg 60 Stk;1002390;7.61133E+12;
MAGNESIUM Sandoz Brausetabl 243 mg Ds 20 Stk;7363763;7.6806E+12;
MAGNESIUM Vital Complex Kaps 1.25 mmol 40 Stk;6443307;7.68046E+12;
Magnesiumhydroxid 100g;10016335;NA;
Magnesiumhydroxid 100g;10016455;NA;
MALLEOTRAIN Aktivbandage Gr2 links titan (n);7807896;4.05753E+12;
MALLEOTRAIN Aktivbandage Gr3 rechts beige;2244048;4.04645E+12;
MALLEOTRAIN Aktivbandage Gr3 rechts beige (n);7807879;4.05753E+12;
MALLEOTRAIN Aktivbandage Gr4 rechts titan (n);7807892;4.05753E+12;
MALLEOTRAIN Aktivbandage Gr6 rechts titan (n);7807894;4.05753E+12;
MALLEOTRAIN Plus Aktivbandage Gr6 rechts titan (n);7807918;4.05753E+12;
MALTOFER Kautabl 100 mg 100 Stk;2822775;7.68047E+12;
MAM Easy Start Anti-Colic Flasche 260ml 2+m Unisex;7814849;9.00162E+12;
MAM Feel Good Glasflasche 260ml 2+m Uni n;7814854;9.00162E+12;
MAM Stillhütchen M;7837512;9.00162E+12;
MANUKA HEALTH Honig +400 MGO 250 g;5956430;9.42102E+12;
MANUKA HEALTH Honig +400 MGO 500 g;7811159;9.42102E+12;
MARLY Rundtupfer 3cm 500 Stk;7837524;7.69367E+12;
MAVALA Crayon Khol-Kajal 02 brun;1962238;7.6189E+12;
MAVALA Lippenstift Poppy Red 4.5 g;6696824;7.6189E+12;
MAVALA Stop Nagelkauen Daumenlutschen Fl 10 ml;868916;7.6189E+12;
MEBUCAÏNE Dolo Lutschtabl 8.75 mg 16 Stk;7842136;7.68068E+12;
MEDELA Freestyle Handsfree;7852662;7.61237E+12;
MEDELA Milchauffangschale 1 Paar;1974224;7.61237E+12;
MEDELA Solo elekt Einzelmilchpumpe;7796086;7.61237E+12;
MEDELA Stilleinlagen waschbar 4 Stk;1512156;7.61237E+12;
MEDI-7 Medikamentendosierer 7 Tage D/F/I blau;6000509;4.26006E+12;
MEDICOMP Bl 4 fach S30 10x10cm steril 25 x 2 Stk;7774570;4.0495E+12;
MEDISANA Non-Contact Infra-Thermometer TM-A79;7786295;4.01559E+12;
MEDISET Kompresse 10x10cm T24 8f st 80 Stk;7837518;6.94156E+12;
MEDISET Rundtupfer 3cm steril 30 Btl 3 Stk;7837536;5.69367E+12;
MEDISET Satellit Schale 120ml steril;7320713;4.0522E+12;
Mediset Schere 1cm spitz Metall einzeln;10016590;NA;
